view_count;likes;dislikes;comment_count
13797514;1007626;20358;59823
76654;541;24;11
3655085;84784;1791;1714
1471639;20797;486;411
5006125;122735;2655;5840
1345656;44515;343;1457
509675;6388;201;1890
1950528;70517;1608;6297
1767940;17058;521;95
315692;6141;74;469
677369;28035;528;1454
35562010;765976;11378;36718
354243090;7078517;396469;17429
562645;11129;1115;4006
182259;3067;206;237
99996;3813;77;140
6583476;112323;2113;5032
270106;5229;152;1221
478128;66012;165;2349
2254837;120212;2276;4793
6612242;322765;3943;1284
17346984;823;810;346
781861;9815;315;1829
1158803;18206;498;2036
19361458;1287745;26057;20386
2832369;214847;937;6381
2867278;58849;747;10635
204965;5087;44;684
175378;7720;49;784
1828624;18125;577;2364
1173811;99165;1381;3199
672842;34975;672;1842
1958981;125163;1681;4751
4563334;130337;1474;3264
3601588;76688;2658;4550
882574;26389;1106;1593
421767;6618;128;536
175336;6032;158;865
805330;23108;564;2163
8805432;245890;14466;20151
296568;6568;62;709
136850;9532;121;664
923407;37020;978;3214
825541;7181;411;1542
5378648;306397;4784;2571
1248467;9553;915;2087
2312010;90737;1173;3817
1820472;10198;903;697
1822915;30489;1793;631
1845986;118939;808;2081
13806137;1110277;12970;3969
1593366;103075;1435;11718
84669;357;119;170
1284771;77098;1242;925
83155;184;39;0
445467;8492;137;1068
836984;17117;299;792
14839357;452473;9198;13751
247611;6979;133;468
1048195;47948;643;1399
161866;7134;72;567
452882;2466;121;842
1740793;20697;915;2728
1263064;38161;843;1522
822619;51189;300;1901
2439885;72579;1422;2157
121088;2698;62;45
151098;27983;49;2346
63889837;1366322;145215;3020
1645679;49404;1819;1468
141985;6022;1877;868
14531878;192296;4634;20035
20093725;344343;51470;253
3008899;31852;1191;2128
564706;35706;734;1283
5480696;126945;2860;7872
894254;62091;917;1957
2090588;121017;5077;2684
424111;4186;325;2093
226001;3017;226;1555
1281321;32561;5282;2262
1718439;123215;472;7659
1375722;97361;357;2554
570328;30435;345;1429
2185630;206296;1478;3446
23282907;479030;14283;30019
1256768;101653;6532;23206
1974850;70974;4583;15758
509252;16558;396;1145
1029999;18526;492;2639
388484;17009;388;846
4312084;71146;787;3676
13723381;56262;3646;3770
6229273;196244;3088;12985
782372;9278;118;1210
23248831;165229;8076;8421
2000448;76987;1118;6450
265014;11775;133;760
1049397;71136;1603;3483
313100;39576;710;1561
5697139;281796;3246;9833
2160468;153324;1794;2433
4311215;50461;4604;1115
892930;44190;3318;1620
938569;18727;389;4002
2221321;162558;960;8953
1969400;169724;806;4472
450024;9785;229;225
704738;9950;241;490
2919792;150927;1376;7405
2123136;27973;369;4374
1978514;194441;4143;3407
858997;72960;541;4282
135946;263;138;0
1144817;5274;659;1121
10418174;443757;14765;4106
2453433;137937;1695;4017
484960;23137;361;722
2362243;28743;2505;355
2341035;43218;532;1304
2246069;50817;1406;1280
2954098;301692;924;9183
1527958;6489;930;1148
1026147;42202;859;3661
1813050;75941;294;4852
367464;6565;296;969
170435;3194;54;163
2334655;14276;1575;310
252838;6087;182;1280
1036702;32536;370;1536
3826123;144086;20644;29960
4007402;18025;5250;4803
755788;55158;141;422
2275003;98357;3139;1765
2524784;284704;3145;6402
14920453;624819;7469;25727
1122426;41129;582;2131
614014;130630;215;10128
575133;20370;542;1798
1863219;74875;625;2205
4028991;111355;1689;4870
